ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 8.322, Start Typing Pressed, Scenario:0, Step:1
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 9.742, Send Message Pressed, Scenario:0, Step:1
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 6.096, Start Typing Pressed, Scenario:0, Step:3
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 7.375, Send Message Pressed, Scenario:0, Step:3
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 19.393, Start Typing Pressed, Scenario:0, Step:5
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 5.112, Send Message Pressed, Scenario:0, Step:5
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 7.134, Start Typing Pressed, Scenario:0, Step:7
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 3.113, Send Message Pressed, Scenario:0, Step:7
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 9.669, Next Pressed, Scenario:0, Step:9
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 4.087, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 6.592, Start Typing Pressed, Scenario:1, Step:1
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 3.559, Send Message Pressed, Scenario:1, Step:1
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 11.760, Start Typing Pressed, Scenario:1, Step:3
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 3.398, Send Message Pressed, Scenario:1, Step:3
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 5.448, Start Typing Pressed, Scenario:1, Step:5
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 2.910, Send Message Pressed, Scenario:1, Step:5
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 5.304, Start Typing Pressed, Scenario:1, Step:7
