ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 13.449, Start Typing Pressed, Scenario:0, Step:1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 10.516, Send Message Pressed, Scenario:0, Step:1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 9.196, Start Typing Pressed, Scenario:0, Step:3
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 18.495, Send Message Pressed, Scenario:0, Step:3
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 6.832, Start Typing Pressed, Scenario:0, Step:5
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 5.316, Send Message Pressed, Scenario:0, Step:5
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 9.571, Start Typing Pressed, Scenario:0, Step:7
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 4.984, Send Message Pressed, Scenario:0, Step:7
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 6.251, Next Pressed, Scenario:0, Step:9
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 8.969, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 113.562, Start Typing Pressed, Scenario:1, Step:1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 3.708, Send Message Pressed, Scenario:1, Step:1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 12.420, Start Typing Pressed, Scenario:1, Step:3
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 16.319, Send Message Pressed, Scenario:1, Step:3
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 13.842, Start Typing Pressed, Scenario:1, Step:5
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 3.940, Send Message Pressed, Scenario:1, Step:5
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 9.933, Start Typing Pressed, Scenario:1, Step:7
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 8.980, Send Message Pressed, Scenario:1, Step:7
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 5.313, Next Pressed, Scenario:1, Step:9
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 5.697, End/Reset Pressed, Scenario:1, Step:9
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,System, Reset Performed, -, -
