ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 3.125, Start Typing Pressed, Scenario:0, Step:1
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 8.415, Send Message Pressed, Scenario:0, Step:1
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 6.008, Start Typing Pressed, Scenario:0, Step:3
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 9.184, Send Message Pressed, Scenario:0, Step:3
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 6.759, Start Typing Pressed, Scenario:0, Step:5
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 5.024, Send Message Pressed, Scenario:0, Step:5
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 3.850, Start Typing Pressed, Scenario:0, Step:7
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 4.518, Send Message Pressed, Scenario:0, Step:7
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 2.706, Next Pressed, Scenario:0, Step:9
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 4.943, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 5.305, Start Typing Pressed, Scenario:1, Step:1
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 4.959, Send Message Pressed, Scenario:1, Step:1
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 3.568, Start Typing Pressed, Scenario:1, Step:3
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 2.896, Send Message Pressed, Scenario:1, Step:3
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 2.904, Start Typing Pressed, Scenario:1, Step:5
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 2.287, Send Message Pressed, Scenario:1, Step:5
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 8.418, Start Typing Pressed, Scenario:1, Step:7
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 4.247, Send Message Pressed, Scenario:1, Step:7
nszw26001_8FGuDaBCtd,2026-01-27_20-05-27,2026-01-27_20-09-22,ItoI_name, 4.872, Next Pressed, Scenario:1, Step:9
