ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 7.520, Start Typing Pressed, Scenario:0, Step:1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 6.231, Send Message Pressed, Scenario:0, Step:1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 8.479, Start Typing Pressed, Scenario:0, Step:3
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 6.752, Send Message Pressed, Scenario:0, Step:3
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 8.766, Start Typing Pressed, Scenario:0, Step:5
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 4.081, Send Message Pressed, Scenario:0, Step:5
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 9.191, Start Typing Pressed, Scenario:0, Step:7
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 3.540, Send Message Pressed, Scenario:0, Step:7
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 8.154, Next Pressed, Scenario:0, Step:9
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 4.248, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 5.455, Start Typing Pressed, Scenario:1, Step:1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 7.991, Send Message Pressed, Scenario:1, Step:1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 9.074, Start Typing Pressed, Scenario:1, Step:3
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 7.384, Send Message Pressed, Scenario:1, Step:3
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 4.668, Start Typing Pressed, Scenario:1, Step:5
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 3.624, Send Message Pressed, Scenario:1, Step:5
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 6.015, Start Typing Pressed, Scenario:1, Step:7
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 6.313, Send Message Pressed, Scenario:1, Step:7
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 5.622, Next Pressed, Scenario:1, Step:9
