ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 12.924, Start Typing Pressed, Scenario:0, Step:1
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 20.616, Send Message Pressed, Scenario:0, Step:1
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 13.686, Start Typing Pressed, Scenario:0, Step:3
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 6.420, Send Message Pressed, Scenario:0, Step:3
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 6.979, Start Typing Pressed, Scenario:0, Step:5
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 10.232, Send Message Pressed, Scenario:0, Step:5
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 8.653, Start Typing Pressed, Scenario:0, Step:7
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 3.519, Send Message Pressed, Scenario:0, Step:7
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 6.217, Next Pressed, Scenario:0, Step:9
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 6.061, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 5.790, Start Typing Pressed, Scenario:1, Step:1
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 3.843, Send Message Pressed, Scenario:1, Step:1
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 9.318, Start Typing Pressed, Scenario:1, Step:3
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 4.346, Send Message Pressed, Scenario:1, Step:3
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 5.795, Start Typing Pressed, Scenario:1, Step:5
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 3.752, Send Message Pressed, Scenario:1, Step:5
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 6.559, Start Typing Pressed, Scenario:1, Step:7
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 2.957, Send Message Pressed, Scenario:1, Step:7
nszw26001_8pk5X6nuO5,2026-01-28_00-41-07,2026-01-28_00-48-56,ItoI_name, 7.897, Next Pressed, Scenario:1, Step:9
