ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 19.183, Start Typing Pressed, Scenario:0, Step:1
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 9.395, Send Message Pressed, Scenario:0, Step:1
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 10.431, Start Typing Pressed, Scenario:0, Step:3
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 8.878, Send Message Pressed, Scenario:0, Step:3
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 22.266, Start Typing Pressed, Scenario:0, Step:5
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 6.449, Send Message Pressed, Scenario:0, Step:5
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 10.051, Start Typing Pressed, Scenario:0, Step:7
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 3.755, Send Message Pressed, Scenario:0, Step:7
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 7.291, Next Pressed, Scenario:0, Step:9
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 9.325, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 5.276, Start Typing Pressed, Scenario:1, Step:1
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 11.675, Send Message Pressed, Scenario:1, Step:1
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 7.217, Start Typing Pressed, Scenario:1, Step:3
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 13.811, Send Message Pressed, Scenario:1, Step:3
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 7.320, Start Typing Pressed, Scenario:1, Step:5
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 3.206, Send Message Pressed, Scenario:1, Step:5
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 5.241, Start Typing Pressed, Scenario:1, Step:7
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 2.886, Send Message Pressed, Scenario:1, Step:7
nszw26001_9UtC0rKFqm,2026-01-27_20-03-22,2026-01-27_20-10-28,ItoE_name, 9.432, Next Pressed, Scenario:1, Step:9
