ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 10.283, Start Typing Pressed, Scenario:0, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 9.130, Send Message Pressed, Scenario:0, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 13.904, Start Typing Pressed, Scenario:0, Step:3
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 10.210, Send Message Pressed, Scenario:0, Step:3
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 13.498, Start Typing Pressed, Scenario:0, Step:5
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 12.746, Send Message Pressed, Scenario:0, Step:5
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 11.200, Start Typing Pressed, Scenario:0, Step:7
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 6.015, Send Message Pressed, Scenario:0, Step:7
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 8.549, Next Pressed, Scenario:0, Step:9
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 5.913, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 10.155, Start Typing Pressed, Scenario:1, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 4.514, Send Message Pressed, Scenario:1, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 11.393, Start Typing Pressed, Scenario:1, Step:3
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 14.131, Send Message Pressed, Scenario:1, Step:3
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 8.159, Start Typing Pressed, Scenario:1, Step:5
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 5.639, Send Message Pressed, Scenario:1, Step:5
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 7.653, Start Typing Pressed, Scenario:1, Step:7
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 6.063, Send Message Pressed, Scenario:1, Step:7
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 6.723, Next Pressed, Scenario:1, Step:9
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 0.294, End/Reset Pressed, Scenario:1, Step:9
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,System, Reset Performed, -, -
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 5.697, Start Typing Pressed, Scenario:0, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 10.687, Send Message Pressed, Scenario:0, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 9.123, Start Typing Pressed, Scenario:0, Step:3
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 7.592, Send Message Pressed, Scenario:0, Step:3
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 6.811, Start Typing Pressed, Scenario:0, Step:5
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 8.627, Send Message Pressed, Scenario:0, Step:5
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 7.370, Start Typing Pressed, Scenario:0, Step:7
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 3.169, Send Message Pressed, Scenario:0, Step:7
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 8.157, Next Pressed, Scenario:0, Step:9
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 3.735, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 11.831, Start Typing Pressed, Scenario:1, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.448, Send Message Pressed, Scenario:1, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.777, Start Typing Pressed, Scenario:1, Step:3
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.634, Send Message Pressed, Scenario:1, Step:3
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.503, Start Typing Pressed, Scenario:1, Step:5
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.404, Send Message Pressed, Scenario:1, Step:5
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 3.686, Start Typing Pressed, Scenario:1, Step:7
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.927, Send Message Pressed, Scenario:1, Step:7
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.987, Next Pressed, Scenario:1, Step:9
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 0.300, End/Reset Pressed, Scenario:1, Step:9
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,System, Reset Performed, -, -
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.787, Start Typing Pressed, Scenario:0, Step:1
nszw26001_AarrCBxO9L,2026-01-27_20-02-40,2026-01-27_20-11-45,ItoE_name, 2.180, Send Message Pressed, Scenario:0, Step:1
