ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 16.881, Start Typing Pressed, Scenario:0, Step:1
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 7.266, Send Message Pressed, Scenario:0, Step:1
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 8.312, Start Typing Pressed, Scenario:0, Step:3
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 8.706, Send Message Pressed, Scenario:0, Step:3
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 35.291, Start Typing Pressed, Scenario:0, Step:5
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 9.261, Send Message Pressed, Scenario:0, Step:5
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 10.336, Start Typing Pressed, Scenario:0, Step:7
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 6.248, Send Message Pressed, Scenario:0, Step:7
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 14.146, Next Pressed, Scenario:0, Step:9
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 9.039, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 9.117, Start Typing Pressed, Scenario:1, Step:1
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 18.278, Send Message Pressed, Scenario:1, Step:1
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 10.707, Start Typing Pressed, Scenario:1, Step:3
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 6.372, Send Message Pressed, Scenario:1, Step:3
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 9.772, Start Typing Pressed, Scenario:1, Step:5
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 3.427, Send Message Pressed, Scenario:1, Step:5
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 13.148, Start Typing Pressed, Scenario:1, Step:7
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 3.567, Send Message Pressed, Scenario:1, Step:7
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 12.929, Next Pressed, Scenario:1, Step:9
