ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 16.071, Start Typing Pressed, Scenario:0, Step:1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 16.410, Send Message Pressed, Scenario:0, Step:1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 10.415, Start Typing Pressed, Scenario:0, Step:3
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 6.578, Send Message Pressed, Scenario:0, Step:3
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 7.078, Start Typing Pressed, Scenario:0, Step:5
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 5.544, Send Message Pressed, Scenario:0, Step:5
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 8.704, Start Typing Pressed, Scenario:0, Step:7
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 4.160, Send Message Pressed, Scenario:0, Step:7
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 7.111, Next Pressed, Scenario:0, Step:9
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 6.688, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 4.832, Start Typing Pressed, Scenario:1, Step:1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.763, Send Message Pressed, Scenario:1, Step:1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 12.685, Start Typing Pressed, Scenario:1, Step:3
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.616, Send Message Pressed, Scenario:1, Step:3
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 8.447, Start Typing Pressed, Scenario:1, Step:5
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.713, Send Message Pressed, Scenario:1, Step:5
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 7.486, Start Typing Pressed, Scenario:1, Step:7
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 4.173, Send Message Pressed, Scenario:1, Step:7
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 25.765, Next Pressed, Scenario:1, Step:9
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 7.176, End/Reset Pressed, Scenario:1, Step:9
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,System, Reset Performed, -, -
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.337, Start Typing Pressed, Scenario:0, Step:1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.503, Send Message Pressed, Scenario:0, Step:1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 8.920, Start Typing Pressed, Scenario:0, Step:3
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 5.568, Send Message Pressed, Scenario:0, Step:3
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 5.107, Start Typing Pressed, Scenario:0, Step:5
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 6.461, Send Message Pressed, Scenario:0, Step:5
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 6.731, Start Typing Pressed, Scenario:0, Step:7
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 2.829, Send Message Pressed, Scenario:0, Step:7
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 8.322, Next Pressed, Scenario:0, Step:9
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.225, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 6.611, Start Typing Pressed, Scenario:1, Step:1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.067, Send Message Pressed, Scenario:1, Step:1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 12.909, Start Typing Pressed, Scenario:1, Step:3
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 5.666, Send Message Pressed, Scenario:1, Step:3
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 5.069, Start Typing Pressed, Scenario:1, Step:5
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.297, Send Message Pressed, Scenario:1, Step:5
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 4.097, Start Typing Pressed, Scenario:1, Step:7
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 3.039, Send Message Pressed, Scenario:1, Step:7
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 4.335, Next Pressed, Scenario:1, Step:9
