ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 18.996, Start Typing Pressed, Scenario:0, Step:1
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 4.866, Send Message Pressed, Scenario:0, Step:1
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 5.250, Start Typing Pressed, Scenario:0, Step:3
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 5.403, Send Message Pressed, Scenario:0, Step:3
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 11.366, Start Typing Pressed, Scenario:0, Step:5
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 4.747, Send Message Pressed, Scenario:0, Step:5
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 17.098, Start Typing Pressed, Scenario:0, Step:7
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 4.951, Send Message Pressed, Scenario:0, Step:7
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 11.331, Next Pressed, Scenario:0, Step:9
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 3.836, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 5.547, Start Typing Pressed, Scenario:1, Step:1
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 3.320, Send Message Pressed, Scenario:1, Step:1
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 2.685, Start Typing Pressed, Scenario:1, Step:3
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 4.731, Send Message Pressed, Scenario:1, Step:3
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 3.868, Start Typing Pressed, Scenario:1, Step:5
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 2.532, Send Message Pressed, Scenario:1, Step:5
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 2.366, Start Typing Pressed, Scenario:1, Step:7
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 2.634, Send Message Pressed, Scenario:1, Step:7
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 3.066, Next Pressed, Scenario:1, Step:9
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,ItoE_name, 4.998, End/Reset Pressed, Scenario:1, Step:9
nszw26001_DAGJdIEdpR,2026-01-27_23-17-22,2026-01-27_23-26-07,System, Reset Performed, -, -
