ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 14.094, Start Typing Pressed, Scenario:0, Step:1
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 3.078, Send Message Pressed, Scenario:0, Step:1
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 4.095, Start Typing Pressed, Scenario:0, Step:3
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 3.184, Send Message Pressed, Scenario:0, Step:3
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 3.713, Start Typing Pressed, Scenario:0, Step:5
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 4.854, Send Message Pressed, Scenario:0, Step:5
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 6.096, Start Typing Pressed, Scenario:0, Step:7
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 3.503, Send Message Pressed, Scenario:0, Step:7
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 4.176, Next Pressed, Scenario:0, Step:9
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 3.807, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 5.626, Start Typing Pressed, Scenario:1, Step:1
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 2.934, Send Message Pressed, Scenario:1, Step:1
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 4.064, Start Typing Pressed, Scenario:1, Step:3
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 3.686, Send Message Pressed, Scenario:1, Step:3
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 6.456, Start Typing Pressed, Scenario:1, Step:5
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 3.263, Send Message Pressed, Scenario:1, Step:5
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 5.056, Start Typing Pressed, Scenario:1, Step:7
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 2.426, Send Message Pressed, Scenario:1, Step:7
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 2.279, Next Pressed, Scenario:1, Step:9
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 2.253, End/Reset Pressed, Scenario:1, Step:9
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,System, Reset Performed, -, -
nszw26001_DWwCiVosym,2026-01-27_20-02-35,2026-01-27_20-07-29,ItoE_noname, 4.519, Start Typing Pressed, Scenario:0, Step:1
