ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 7.048, Start Typing Pressed, Scenario:0, Step:1
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 6.500, Send Message Pressed, Scenario:0, Step:1
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 35.582, Start Typing Pressed, Scenario:0, Step:3
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 3.567, Send Message Pressed, Scenario:0, Step:3
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 2.321, Start Typing Pressed, Scenario:0, Step:5
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 1.791, Send Message Pressed, Scenario:0, Step:5
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 2.134, Start Typing Pressed, Scenario:0, Step:7
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 3.198, Send Message Pressed, Scenario:0, Step:7
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 2.706, Next Pressed, Scenario:0, Step:9
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 3.074, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 4.161, Start Typing Pressed, Scenario:1, Step:1
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 3.877, Send Message Pressed, Scenario:1, Step:1
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 7.211, Start Typing Pressed, Scenario:1, Step:3
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 2.989, Send Message Pressed, Scenario:1, Step:3
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 6.111, Start Typing Pressed, Scenario:1, Step:5
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 2.681, Send Message Pressed, Scenario:1, Step:5
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 5.696, Start Typing Pressed, Scenario:1, Step:7
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 4.129, Send Message Pressed, Scenario:1, Step:7
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 4.508, Next Pressed, Scenario:1, Step:9
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,ItoI_noname, 0.294, End/Reset Pressed, Scenario:1, Step:9
nszw26001_E6n0k77CqF,2026-01-27_23-41-41,2026-01-27_23-45-39,System, Reset Performed, -, -
