ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 3.619, Start Typing Pressed, Scenario:0, Step:1
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 5.207, Send Message Pressed, Scenario:0, Step:1
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 6.054, Start Typing Pressed, Scenario:0, Step:3
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 3.840, Send Message Pressed, Scenario:0, Step:3
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 14.339, Start Typing Pressed, Scenario:0, Step:5
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 3.665, Send Message Pressed, Scenario:0, Step:5
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 7.109, Start Typing Pressed, Scenario:0, Step:7
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.485, Send Message Pressed, Scenario:0, Step:7
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 6.231, Next Pressed, Scenario:0, Step:9
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 3.115, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 5.757, Start Typing Pressed, Scenario:1, Step:1
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 3.071, Send Message Pressed, Scenario:1, Step:1
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 5.205, Start Typing Pressed, Scenario:1, Step:3
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 5.098, Send Message Pressed, Scenario:1, Step:3
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 3.967, Start Typing Pressed, Scenario:1, Step:5
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.837, Send Message Pressed, Scenario:1, Step:5
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 4.312, Start Typing Pressed, Scenario:1, Step:7
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.526, Send Message Pressed, Scenario:1, Step:7
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.783, Next Pressed, Scenario:1, Step:9
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.204, End/Reset Pressed, Scenario:1, Step:9
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,System, Reset Performed, -, -
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.707, Start Typing Pressed, Scenario:0, Step:1
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.820, Send Message Pressed, Scenario:0, Step:1
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 3.015, Start Typing Pressed, Scenario:0, Step:3
