ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 7.415, Start Typing Pressed, Scenario:0, Step:1
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 6.173, Send Message Pressed, Scenario:0, Step:1
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 7.998, Start Typing Pressed, Scenario:0, Step:3
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 8.764, Send Message Pressed, Scenario:0, Step:3
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 10.296, Start Typing Pressed, Scenario:0, Step:5
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 4.196, Send Message Pressed, Scenario:0, Step:5
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 5.205, Start Typing Pressed, Scenario:0, Step:7
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 3.300, Send Message Pressed, Scenario:0, Step:7
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 7.538, Next Pressed, Scenario:0, Step:9
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 3.665, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 4.074, Start Typing Pressed, Scenario:1, Step:1
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 3.019, Send Message Pressed, Scenario:1, Step:1
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 15.870, Start Typing Pressed, Scenario:1, Step:3
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 2.943, Send Message Pressed, Scenario:1, Step:3
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 6.072, Start Typing Pressed, Scenario:1, Step:5
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 3.285, Send Message Pressed, Scenario:1, Step:5
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 6.810, Start Typing Pressed, Scenario:1, Step:7
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 3.165, Send Message Pressed, Scenario:1, Step:7
nszw26001_Fx5qXU4Onc,2026-01-27_20-04-48,2026-01-27_20-09-46,ItoE_name, 3.554, Next Pressed, Scenario:1, Step:9
