ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 34.532, Start Typing Pressed, Scenario:0, Step:1
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 8.068, Send Message Pressed, Scenario:0, Step:1
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 23.223, Start Typing Pressed, Scenario:0, Step:3
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 8.017, Send Message Pressed, Scenario:0, Step:3
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 10.720, Start Typing Pressed, Scenario:0, Step:5
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 3.896, Send Message Pressed, Scenario:0, Step:5
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 6.695, Start Typing Pressed, Scenario:0, Step:7
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 3.056, Send Message Pressed, Scenario:0, Step:7
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 4.945, Next Pressed, Scenario:0, Step:9
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 4.939, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 6.784, Start Typing Pressed, Scenario:1, Step:1
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 4.021, Send Message Pressed, Scenario:1, Step:1
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 9.544, Start Typing Pressed, Scenario:1, Step:3
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 7.570, Send Message Pressed, Scenario:1, Step:3
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 9.414, Start Typing Pressed, Scenario:1, Step:5
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 3.035, Send Message Pressed, Scenario:1, Step:5
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 9.602, Start Typing Pressed, Scenario:1, Step:7
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 2.626, Send Message Pressed, Scenario:1, Step:7
nszw26001_G0wzQyMD7g,2026-01-27_20-02-30,2026-01-27_20-09-07,ItoE_noname, 7.291, Next Pressed, Scenario:1, Step:9
