ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.135, Start Typing Pressed, Scenario:0, Step:1
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.806, Send Message Pressed, Scenario:0, Step:1
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.402, Start Typing Pressed, Scenario:0, Step:3
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.827, Send Message Pressed, Scenario:0, Step:3
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.485, Start Typing Pressed, Scenario:0, Step:5
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 5.520, Send Message Pressed, Scenario:0, Step:5
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.442, Start Typing Pressed, Scenario:0, Step:7
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.804, Send Message Pressed, Scenario:0, Step:7
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.072, Next Pressed, Scenario:0, Step:9
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.975, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 3.805, Start Typing Pressed, Scenario:1, Step:1
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.811, Send Message Pressed, Scenario:1, Step:1
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.017, Start Typing Pressed, Scenario:1, Step:3
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.647, Send Message Pressed, Scenario:1, Step:3
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.111, Start Typing Pressed, Scenario:1, Step:5
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.626, Send Message Pressed, Scenario:1, Step:5
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.155, Start Typing Pressed, Scenario:1, Step:7
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.658, Send Message Pressed, Scenario:1, Step:7
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.085, Next Pressed, Scenario:1, Step:9
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 0.237, End/Reset Pressed, Scenario:1, Step:9
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,System, Reset Performed, -, -
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.085, Start Typing Pressed, Scenario:0, Step:1
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 4.702, Send Message Pressed, Scenario:0, Step:1
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.060, Start Typing Pressed, Scenario:0, Step:3
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.821, Send Message Pressed, Scenario:0, Step:3
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.047, Start Typing Pressed, Scenario:0, Step:5
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.621, Send Message Pressed, Scenario:0, Step:5
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.097, Start Typing Pressed, Scenario:0, Step:7
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 1.844, Send Message Pressed, Scenario:0, Step:7
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.126, Next Pressed, Scenario:0, Step:9
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.031, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 8.703, Start Typing Pressed, Scenario:1, Step:1
nszw26001_GDVJ4w9dd4,2026-01-27_23-48-18,2026-01-27_23-51-21,ItoE_name, 2.101, Send Message Pressed, Scenario:1, Step:1
