ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 14.868, Start Typing Pressed, Scenario:0, Step:1
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 7.313, Send Message Pressed, Scenario:0, Step:1
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 20.317, Start Typing Pressed, Scenario:0, Step:3
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 15.791, Send Message Pressed, Scenario:0, Step:3
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 13.739, Start Typing Pressed, Scenario:0, Step:5
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 9.206, Send Message Pressed, Scenario:0, Step:5
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 24.547, Start Typing Pressed, Scenario:0, Step:7
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 6.620, Send Message Pressed, Scenario:0, Step:7
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 15.985, Next Pressed, Scenario:0, Step:9
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 6.602, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 6.788, Start Typing Pressed, Scenario:1, Step:1
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 4.431, Send Message Pressed, Scenario:1, Step:1
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 14.599, Start Typing Pressed, Scenario:1, Step:3
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 4.414, Send Message Pressed, Scenario:1, Step:3
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 10.401, Start Typing Pressed, Scenario:1, Step:5
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 4.623, Send Message Pressed, Scenario:1, Step:5
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 16.591, Start Typing Pressed, Scenario:1, Step:7
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 8.047, Send Message Pressed, Scenario:1, Step:7
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 13.418, Next Pressed, Scenario:1, Step:9
