ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 4.870, Start Typing Pressed, Scenario:0, Step:1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 5.300, Send Message Pressed, Scenario:0, Step:1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 5.064, Start Typing Pressed, Scenario:0, Step:3
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 4.615, Send Message Pressed, Scenario:0, Step:3
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 9.139, Start Typing Pressed, Scenario:0, Step:5
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 4.570, Send Message Pressed, Scenario:0, Step:5
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 5.392, Start Typing Pressed, Scenario:0, Step:7
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 3.273, Send Message Pressed, Scenario:0, Step:7
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 4.878, Next Pressed, Scenario:0, Step:9
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 5.445, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 4.840, Start Typing Pressed, Scenario:1, Step:1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 3.290, Send Message Pressed, Scenario:1, Step:1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 4.791, Start Typing Pressed, Scenario:1, Step:3
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 2.479, Send Message Pressed, Scenario:1, Step:3
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 6.192, Start Typing Pressed, Scenario:1, Step:5
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 2.568, Send Message Pressed, Scenario:1, Step:5
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 4.766, Start Typing Pressed, Scenario:1, Step:7
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 6.101, Send Message Pressed, Scenario:1, Step:7
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 5.043, Next Pressed, Scenario:1, Step:9
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 7.035, End/Reset Pressed, Scenario:1, Step:9
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,System, Reset Performed, -, -
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 3.651, Start Typing Pressed, Scenario:0, Step:1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 2.242, Send Message Pressed, Scenario:0, Step:1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 3.470, Start Typing Pressed, Scenario:0, Step:3
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 2.640, Send Message Pressed, Scenario:0, Step:3
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 3.494, Start Typing Pressed, Scenario:0, Step:5
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 3.278, Send Message Pressed, Scenario:0, Step:5
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 2.880, Start Typing Pressed, Scenario:0, Step:7
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 2.090, Send Message Pressed, Scenario:0, Step:7
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 3.541, Next Pressed, Scenario:0, Step:9
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 6.424, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 3.963, Start Typing Pressed, Scenario:1, Step:1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 2.443, Send Message Pressed, Scenario:1, Step:1
