ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 15.258, Start Typing Pressed, Scenario:0, Step:1
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 17.584, Send Message Pressed, Scenario:0, Step:1
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 9.834, Start Typing Pressed, Scenario:0, Step:3
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 9.333, Send Message Pressed, Scenario:0, Step:3
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 9.201, Start Typing Pressed, Scenario:0, Step:5
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 6.667, Send Message Pressed, Scenario:0, Step:5
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 11.618, Start Typing Pressed, Scenario:0, Step:7
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 3.503, Send Message Pressed, Scenario:0, Step:7
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 7.583, Next Pressed, Scenario:0, Step:9
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 4.850, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 7.881, Start Typing Pressed, Scenario:1, Step:1
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 4.166, Send Message Pressed, Scenario:1, Step:1
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 8.951, Start Typing Pressed, Scenario:1, Step:3
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 4.684, Send Message Pressed, Scenario:1, Step:3
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 8.101, Start Typing Pressed, Scenario:1, Step:5
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 4.883, Send Message Pressed, Scenario:1, Step:5
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 5.850, Start Typing Pressed, Scenario:1, Step:7
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 4.584, Send Message Pressed, Scenario:1, Step:7
nszw26001_IeLG1vWhlJ,2026-01-27_23-36-44,2026-01-27_23-42-02,ItoE_noname, 6.233, Next Pressed, Scenario:1, Step:9
