ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 10.418, Start Typing Pressed, Scenario:0, Step:1
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 7.209, Send Message Pressed, Scenario:0, Step:1
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 20.414, Start Typing Pressed, Scenario:0, Step:3
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 6.003, Send Message Pressed, Scenario:0, Step:3
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 5.772, Start Typing Pressed, Scenario:0, Step:5
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.365, Send Message Pressed, Scenario:0, Step:5
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 3.646, Start Typing Pressed, Scenario:0, Step:7
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 5.828, Send Message Pressed, Scenario:0, Step:7
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 5.614, Next Pressed, Scenario:0, Step:9
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.684, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 4.167, Start Typing Pressed, Scenario:1, Step:1
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 4.268, Send Message Pressed, Scenario:1, Step:1
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.653, Start Typing Pressed, Scenario:1, Step:3
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.369, Send Message Pressed, Scenario:1, Step:3
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.540, Start Typing Pressed, Scenario:1, Step:5
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.992, Send Message Pressed, Scenario:1, Step:5
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.547, Start Typing Pressed, Scenario:1, Step:7
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.652, Send Message Pressed, Scenario:1, Step:7
nszw26001_IqIYtE1Ejq,2026-01-27_23-54-24,2026-01-27_23-57-31,ItoI_name, 2.483, Next Pressed, Scenario:1, Step:9
