ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 16.657, Start Typing Pressed, Scenario:0, Step:1
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 3.909, Send Message Pressed, Scenario:0, Step:1
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 4.549, Start Typing Pressed, Scenario:0, Step:3
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 5.414, Send Message Pressed, Scenario:0, Step:3
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 6.566, Start Typing Pressed, Scenario:0, Step:5
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 4.343, Send Message Pressed, Scenario:0, Step:5
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 6.754, Start Typing Pressed, Scenario:0, Step:7
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 3.128, Send Message Pressed, Scenario:0, Step:7
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 7.728, Next Pressed, Scenario:0, Step:9
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 3.175, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 8.684, Start Typing Pressed, Scenario:1, Step:1
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 2.432, Send Message Pressed, Scenario:1, Step:1
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 13.699, Start Typing Pressed, Scenario:1, Step:3
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 3.581, Send Message Pressed, Scenario:1, Step:3
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 5.825, Start Typing Pressed, Scenario:1, Step:5
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 2.569, Send Message Pressed, Scenario:1, Step:5
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 5.784, Start Typing Pressed, Scenario:1, Step:7
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 2.946, Send Message Pressed, Scenario:1, Step:7
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 11.653, Next Pressed, Scenario:1, Step:9
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,ItoE_name, 3.900, End/Reset Pressed, Scenario:1, Step:9
nszw26001_KRhWckzkwg,2026-01-27_20-02-41,2026-01-27_20-07-27,System, Reset Performed, -, -
