ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 31.852, Start Typing Pressed, Scenario:0, Step:1
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 2.717, Send Message Pressed, Scenario:0, Step:1
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 8.074, Start Typing Pressed, Scenario:0, Step:3
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 3.515, Send Message Pressed, Scenario:0, Step:3
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 15.038, Start Typing Pressed, Scenario:0, Step:5
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 12.718, Send Message Pressed, Scenario:0, Step:5
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 9.182, Start Typing Pressed, Scenario:0, Step:7
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 3.394, Send Message Pressed, Scenario:0, Step:7
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 9.648, Next Pressed, Scenario:0, Step:9
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 3.324, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 9.215, Start Typing Pressed, Scenario:1, Step:1
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 2.236, Send Message Pressed, Scenario:1, Step:1
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 4.102, Start Typing Pressed, Scenario:1, Step:3
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 3.887, Send Message Pressed, Scenario:1, Step:3
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 5.395, Start Typing Pressed, Scenario:1, Step:5
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 2.394, Send Message Pressed, Scenario:1, Step:5
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 4.629, Start Typing Pressed, Scenario:1, Step:7
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 2.224, Send Message Pressed, Scenario:1, Step:7
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 6.143, Next Pressed, Scenario:1, Step:9
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 0.510, End/Reset Pressed, Scenario:1, Step:9
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,System, Reset Performed, -, -
