ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 15.455, Start Typing Pressed, Scenario:0, Step:1
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 3.421, Send Message Pressed, Scenario:0, Step:1
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 3.328, Start Typing Pressed, Scenario:0, Step:3
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.821, Send Message Pressed, Scenario:0, Step:3
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.897, Start Typing Pressed, Scenario:0, Step:5
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 1.860, Send Message Pressed, Scenario:0, Step:5
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.536, Start Typing Pressed, Scenario:0, Step:7
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 1.871, Send Message Pressed, Scenario:0, Step:7
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.467, Next Pressed, Scenario:0, Step:9
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 9.379, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 3.670, Start Typing Pressed, Scenario:1, Step:1
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.032, Send Message Pressed, Scenario:1, Step:1
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.107, Start Typing Pressed, Scenario:1, Step:3
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 1.727, Send Message Pressed, Scenario:1, Step:3
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.367, Start Typing Pressed, Scenario:1, Step:5
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 1.948, Send Message Pressed, Scenario:1, Step:5
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.647, Start Typing Pressed, Scenario:1, Step:7
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 1.671, Send Message Pressed, Scenario:1, Step:7
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 2.303, Next Pressed, Scenario:1, Step:9
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,ItoI_noname, 0.152, End/Reset Pressed, Scenario:1, Step:9
nszw26001_Lvj5Ftz5vp,2026-01-27_20-16-47,2026-01-27_20-20-15,System, Reset Performed, -, -
