ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 12.355, Start Typing Pressed, Scenario:0, Step:1
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 9.077, Send Message Pressed, Scenario:0, Step:1
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 27.009, Start Typing Pressed, Scenario:0, Step:3
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 8.758, Send Message Pressed, Scenario:0, Step:3
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 14.569, Start Typing Pressed, Scenario:0, Step:5
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 4.784, Send Message Pressed, Scenario:0, Step:5
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 8.885, Start Typing Pressed, Scenario:0, Step:7
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 25.569, Send Message Pressed, Scenario:0, Step:7
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 6.895, Next Pressed, Scenario:0, Step:9
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 6.058, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 4.901, Start Typing Pressed, Scenario:1, Step:1
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 3.424, Send Message Pressed, Scenario:1, Step:1
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 5.257, Start Typing Pressed, Scenario:1, Step:3
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 7.927, Send Message Pressed, Scenario:1, Step:3
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 25.894, Start Typing Pressed, Scenario:1, Step:5
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 5.414, Send Message Pressed, Scenario:1, Step:5
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 11.954, Start Typing Pressed, Scenario:1, Step:7
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 16.118, Send Message Pressed, Scenario:1, Step:7
nszw26001_McNHh4hm19,2026-01-27_23-01-08,2026-01-27_23-08-35,ItoI_name, 8.855, Next Pressed, Scenario:1, Step:9
