ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 10.960, Start Typing Pressed, Scenario:0, Step:1
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 9.712, Send Message Pressed, Scenario:0, Step:1
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 23.031, Start Typing Pressed, Scenario:0, Step:3
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 8.270, Send Message Pressed, Scenario:0, Step:3
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 8.288, Start Typing Pressed, Scenario:0, Step:5
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 12.158, Send Message Pressed, Scenario:0, Step:5
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 11.651, Start Typing Pressed, Scenario:0, Step:7
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 4.831, Send Message Pressed, Scenario:0, Step:7
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 9.336, Next Pressed, Scenario:0, Step:9
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 5.152, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 6.304, Start Typing Pressed, Scenario:1, Step:1
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 4.848, Send Message Pressed, Scenario:1, Step:1
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 7.664, Start Typing Pressed, Scenario:1, Step:3
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 9.029, Send Message Pressed, Scenario:1, Step:3
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 11.990, Start Typing Pressed, Scenario:1, Step:5
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 4.931, Send Message Pressed, Scenario:1, Step:5
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 10.979, Start Typing Pressed, Scenario:1, Step:7
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 6.961, Send Message Pressed, Scenario:1, Step:7
nszw26001_MiJxhcPGvT,2026-01-27_23-02-21,2026-01-27_23-12-15,ItoI_noname, 10.650, Next Pressed, Scenario:1, Step:9
