ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 33.810, Start Typing Pressed, Scenario:0, Step:1
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 23.180, Send Message Pressed, Scenario:0, Step:1
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 15.964, Start Typing Pressed, Scenario:0, Step:3
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 7.654, Send Message Pressed, Scenario:0, Step:3
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 9.282, Start Typing Pressed, Scenario:0, Step:5
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 3.711, Send Message Pressed, Scenario:0, Step:5
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 5.127, Start Typing Pressed, Scenario:0, Step:7
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 3.432, Send Message Pressed, Scenario:0, Step:7
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 5.333, Next Pressed, Scenario:0, Step:9
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 3.395, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 4.195, Start Typing Pressed, Scenario:1, Step:1
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 2.513, Send Message Pressed, Scenario:1, Step:1
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 4.711, Start Typing Pressed, Scenario:1, Step:3
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 3.484, Send Message Pressed, Scenario:1, Step:3
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 4.725, Start Typing Pressed, Scenario:1, Step:5
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 3.364, Send Message Pressed, Scenario:1, Step:5
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 6.114, Start Typing Pressed, Scenario:1, Step:7
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 3.196, Send Message Pressed, Scenario:1, Step:7
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 7.408, Next Pressed, Scenario:1, Step:9
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 1.687, End/Reset Pressed, Scenario:1, Step:9
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,System, Reset Performed, -, -
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 3.259, Start Typing Pressed, Scenario:0, Step:1
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 2.229, Send Message Pressed, Scenario:0, Step:1
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 3.694, Start Typing Pressed, Scenario:0, Step:3
