ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 9.798, Start Typing Pressed, Scenario:0, Step:1
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 9.607, Send Message Pressed, Scenario:0, Step:1
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 20.312, Start Typing Pressed, Scenario:0, Step:3
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 5.601, Send Message Pressed, Scenario:0, Step:3
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 7.094, Start Typing Pressed, Scenario:0, Step:5
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 27.677, Send Message Pressed, Scenario:0, Step:5
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 10.086, Start Typing Pressed, Scenario:0, Step:7
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 4.631, Send Message Pressed, Scenario:0, Step:7
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 9.438, Next Pressed, Scenario:0, Step:9
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 4.210, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 28.984, Start Typing Pressed, Scenario:1, Step:1
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 16.325, Send Message Pressed, Scenario:1, Step:1
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 10.529, Start Typing Pressed, Scenario:1, Step:3
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 3.765, Send Message Pressed, Scenario:1, Step:3
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 4.968, Start Typing Pressed, Scenario:1, Step:5
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 11.009, Send Message Pressed, Scenario:1, Step:5
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 4.420, Start Typing Pressed, Scenario:1, Step:7
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 4.054, Send Message Pressed, Scenario:1, Step:7
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 4.492, Next Pressed, Scenario:1, Step:9
