ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 10.281, Start Typing Pressed, Scenario:0, Step:1
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 4.464, Send Message Pressed, Scenario:0, Step:1
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 16.458, Start Typing Pressed, Scenario:0, Step:3
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 4.848, Send Message Pressed, Scenario:0, Step:3
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 8.777, Start Typing Pressed, Scenario:0, Step:5
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 5.016, Send Message Pressed, Scenario:0, Step:5
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 5.865, Start Typing Pressed, Scenario:0, Step:7
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 4.456, Send Message Pressed, Scenario:0, Step:7
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 6.929, Next Pressed, Scenario:0, Step:9
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 5.136, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 4.008, Start Typing Pressed, Scenario:1, Step:1
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 2.432, Send Message Pressed, Scenario:1, Step:1
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 3.976, Start Typing Pressed, Scenario:1, Step:3
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 4.648, Send Message Pressed, Scenario:1, Step:3
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 5.024, Start Typing Pressed, Scenario:1, Step:5
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 2.456, Send Message Pressed, Scenario:1, Step:5
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 5.280, Start Typing Pressed, Scenario:1, Step:7
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 4.488, Send Message Pressed, Scenario:1, Step:7
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 3.896, Next Pressed, Scenario:1, Step:9
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 1.240, End/Reset Pressed, Scenario:1, Step:9
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,System, Reset Performed, -, -
