ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 48.014, Start Typing Pressed, Scenario:0, Step:1
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 11.472, Send Message Pressed, Scenario:0, Step:1
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 8.214, Start Typing Pressed, Scenario:0, Step:3
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 10.538, Send Message Pressed, Scenario:0, Step:3
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 18.767, Start Typing Pressed, Scenario:0, Step:5
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 4.197, Send Message Pressed, Scenario:0, Step:5
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 4.112, Start Typing Pressed, Scenario:0, Step:7
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 9.674, Send Message Pressed, Scenario:0, Step:7
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 3.668, Next Pressed, Scenario:0, Step:9
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 14.489, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 6.537, Start Typing Pressed, Scenario:1, Step:1
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 3.389, Send Message Pressed, Scenario:1, Step:1
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 3.530, Start Typing Pressed, Scenario:1, Step:3
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 4.849, Send Message Pressed, Scenario:1, Step:3
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 7.348, Start Typing Pressed, Scenario:1, Step:5
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 13.068, Send Message Pressed, Scenario:1, Step:5
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 3.530, Start Typing Pressed, Scenario:1, Step:7
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 3.016, Send Message Pressed, Scenario:1, Step:7
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 11.511, Next Pressed, Scenario:1, Step:9
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 1.552, End/Reset Pressed, Scenario:1, Step:9
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,System, Reset Performed, -, -
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 5.128, Start Typing Pressed, Scenario:0, Step:1
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 3.382, Send Message Pressed, Scenario:0, Step:1
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 9.249, Start Typing Pressed, Scenario:0, Step:3
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 7.278, Send Message Pressed, Scenario:0, Step:3
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 6.099, Start Typing Pressed, Scenario:0, Step:5
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 4.870, Send Message Pressed, Scenario:0, Step:5
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 6.075, Start Typing Pressed, Scenario:0, Step:7
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 2.786, Send Message Pressed, Scenario:0, Step:7
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 7.016, Next Pressed, Scenario:0, Step:9
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 3.217, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 4.886, Start Typing Pressed, Scenario:1, Step:1
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 2.825, Send Message Pressed, Scenario:1, Step:1
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 7.936, Start Typing Pressed, Scenario:1, Step:3
