ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 9.499, Start Typing Pressed, Scenario:0, Step:1
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 12.714, Send Message Pressed, Scenario:0, Step:1
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 13.228, Start Typing Pressed, Scenario:0, Step:3
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 5.888, Send Message Pressed, Scenario:0, Step:3
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 4.907, Start Typing Pressed, Scenario:0, Step:5
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 4.231, Send Message Pressed, Scenario:0, Step:5
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 6.909, Start Typing Pressed, Scenario:0, Step:7
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 2.790, Send Message Pressed, Scenario:0, Step:7
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 4.108, Next Pressed, Scenario:0, Step:9
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 2.642, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 4.564, Start Typing Pressed, Scenario:1, Step:1
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 3.413, Send Message Pressed, Scenario:1, Step:1
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 4.517, Start Typing Pressed, Scenario:1, Step:3
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 5.787, Send Message Pressed, Scenario:1, Step:3
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 4.743, Start Typing Pressed, Scenario:1, Step:5
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 3.952, Send Message Pressed, Scenario:1, Step:5
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 5.516, Start Typing Pressed, Scenario:1, Step:7
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 2.343, Send Message Pressed, Scenario:1, Step:7
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 4.701, Next Pressed, Scenario:1, Step:9
