ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 4.032, Start Typing Pressed, Scenario:0, Step:1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 6.251, Send Message Pressed, Scenario:0, Step:1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 6.898, Start Typing Pressed, Scenario:0, Step:3
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 3.584, Send Message Pressed, Scenario:0, Step:3
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 5.239, Start Typing Pressed, Scenario:0, Step:5
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 4.297, Send Message Pressed, Scenario:0, Step:5
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 5.419, Start Typing Pressed, Scenario:0, Step:7
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 3.216, Send Message Pressed, Scenario:0, Step:7
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 4.777, Next Pressed, Scenario:0, Step:9
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 5.054, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 4.724, Start Typing Pressed, Scenario:1, Step:1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 2.446, Send Message Pressed, Scenario:1, Step:1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 4.672, Start Typing Pressed, Scenario:1, Step:3
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 2.728, Send Message Pressed, Scenario:1, Step:3
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 8.388, Start Typing Pressed, Scenario:1, Step:5
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 2.704, Send Message Pressed, Scenario:1, Step:5
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 5.163, Start Typing Pressed, Scenario:1, Step:7
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 2.439, Send Message Pressed, Scenario:1, Step:7
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 4.688, Next Pressed, Scenario:1, Step:9
