ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 7.343, Start Typing Pressed, Scenario:0, Step:1
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 8.194, Send Message Pressed, Scenario:0, Step:1
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 11.398, Start Typing Pressed, Scenario:0, Step:3
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 5.010, Send Message Pressed, Scenario:0, Step:3
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 20.979, Start Typing Pressed, Scenario:0, Step:5
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 3.984, Send Message Pressed, Scenario:0, Step:5
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 8.595, Start Typing Pressed, Scenario:0, Step:7
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 4.241, Send Message Pressed, Scenario:0, Step:7
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 6.545, Next Pressed, Scenario:0, Step:9
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 2.405, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 4.095, Start Typing Pressed, Scenario:1, Step:1
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 2.151, Send Message Pressed, Scenario:1, Step:1
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 3.821, Start Typing Pressed, Scenario:1, Step:3
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 5.958, Send Message Pressed, Scenario:1, Step:3
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 6.165, Start Typing Pressed, Scenario:1, Step:5
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 3.211, Send Message Pressed, Scenario:1, Step:5
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 11.732, Start Typing Pressed, Scenario:1, Step:7
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 4.319, Send Message Pressed, Scenario:1, Step:7
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 3.784, Next Pressed, Scenario:1, Step:9
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 1.506, End/Reset Pressed, Scenario:1, Step:9
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,System, Reset Performed, -, -
