ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 17.812, Start Typing Pressed, Scenario:0, Step:1
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 12.303, Send Message Pressed, Scenario:0, Step:1
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 18.053, Start Typing Pressed, Scenario:0, Step:3
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 9.754, Send Message Pressed, Scenario:0, Step:3
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 15.823, Start Typing Pressed, Scenario:0, Step:5
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 5.295, Send Message Pressed, Scenario:0, Step:5
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 27.283, Start Typing Pressed, Scenario:0, Step:7
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 3.983, Send Message Pressed, Scenario:0, Step:7
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 8.183, Next Pressed, Scenario:0, Step:9
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 8.368, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 10.467, Start Typing Pressed, Scenario:1, Step:1
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 4.888, Send Message Pressed, Scenario:1, Step:1
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 7.783, Start Typing Pressed, Scenario:1, Step:3
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 5.616, Send Message Pressed, Scenario:1, Step:3
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 11.160, Start Typing Pressed, Scenario:1, Step:5
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 3.071, Send Message Pressed, Scenario:1, Step:5
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 8.858, Start Typing Pressed, Scenario:1, Step:7
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 5.372, Send Message Pressed, Scenario:1, Step:7
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 13.432, Next Pressed, Scenario:1, Step:9
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 5.247, End/Reset Pressed, Scenario:1, Step:9
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,System, Reset Performed, -, -
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 5.657, Start Typing Pressed, Scenario:0, Step:1
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 3.472, Send Message Pressed, Scenario:0, Step:1
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 9.417, Start Typing Pressed, Scenario:0, Step:3
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 4.269, Send Message Pressed, Scenario:0, Step:3
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 4.559, Start Typing Pressed, Scenario:0, Step:5
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 14.159, Send Message Pressed, Scenario:0, Step:5
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 10.272, Start Typing Pressed, Scenario:0, Step:7
