ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 25.005, Start Typing Pressed, Scenario:0, Step:1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 11.993, Send Message Pressed, Scenario:0, Step:1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 24.522, Start Typing Pressed, Scenario:0, Step:3
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 18.448, Send Message Pressed, Scenario:0, Step:3
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 25.145, Start Typing Pressed, Scenario:0, Step:5
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 11.504, Send Message Pressed, Scenario:0, Step:5
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 17.252, Start Typing Pressed, Scenario:0, Step:7
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 7.042, Send Message Pressed, Scenario:0, Step:7
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 16.407, Next Pressed, Scenario:0, Step:9
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 19.857, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 8.939, Start Typing Pressed, Scenario:1, Step:1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 8.518, Send Message Pressed, Scenario:1, Step:1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 26.886, Start Typing Pressed, Scenario:1, Step:3
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 13.308, Send Message Pressed, Scenario:1, Step:3
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 9.612, Start Typing Pressed, Scenario:1, Step:5
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 4.147, Send Message Pressed, Scenario:1, Step:5
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 25.424, Start Typing Pressed, Scenario:1, Step:7
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 10.354, Send Message Pressed, Scenario:1, Step:7
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 15.205, Next Pressed, Scenario:1, Step:9
