ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 14.336, Start Typing Pressed, Scenario:0, Step:1
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 6.755, Send Message Pressed, Scenario:0, Step:1
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 8.682, Start Typing Pressed, Scenario:0, Step:3
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.337, Send Message Pressed, Scenario:0, Step:3
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 8.936, Start Typing Pressed, Scenario:0, Step:5
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 7.428, Send Message Pressed, Scenario:0, Step:5
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 15.697, Start Typing Pressed, Scenario:0, Step:7
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.694, Send Message Pressed, Scenario:0, Step:7
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 15.183, Next Pressed, Scenario:0, Step:9
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.009, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.334, Start Typing Pressed, Scenario:1, Step:1
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 20.142, Send Message Pressed, Scenario:1, Step:1
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.576, Start Typing Pressed, Scenario:1, Step:3
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 4.763, Send Message Pressed, Scenario:1, Step:3
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.447, Start Typing Pressed, Scenario:1, Step:5
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.045, Send Message Pressed, Scenario:1, Step:5
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 7.348, Start Typing Pressed, Scenario:1, Step:7
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.642, Send Message Pressed, Scenario:1, Step:7
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 5.072, Next Pressed, Scenario:1, Step:9
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 2.483, End/Reset Pressed, Scenario:1, Step:9
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,System, Reset Performed, -, -
