ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 3.374, Start Typing Pressed, Scenario:0, Step:1
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 2.012, Send Message Pressed, Scenario:0, Step:1
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 3.098, Start Typing Pressed, Scenario:0, Step:3
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 5.492, Send Message Pressed, Scenario:0, Step:3
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 6.003, Start Typing Pressed, Scenario:0, Step:5
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 3.187, Send Message Pressed, Scenario:0, Step:5
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 22.301, Start Typing Pressed, Scenario:0, Step:7
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 5.839, Send Message Pressed, Scenario:0, Step:7
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 5.990, Next Pressed, Scenario:0, Step:9
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 2.221, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 6.087, Start Typing Pressed, Scenario:1, Step:1
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 1.761, Send Message Pressed, Scenario:1, Step:1
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 3.362, Start Typing Pressed, Scenario:1, Step:3
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 2.711, Send Message Pressed, Scenario:1, Step:3
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 3.401, Start Typing Pressed, Scenario:1, Step:5
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 2.796, Send Message Pressed, Scenario:1, Step:5
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 3.183, Start Typing Pressed, Scenario:1, Step:7
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 3.267, Send Message Pressed, Scenario:1, Step:7
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 3.063, Next Pressed, Scenario:1, Step:9
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,ItoE_noname, 2.811, End/Reset Pressed, Scenario:1, Step:9
nszw26001_Xpz1WpGZcf,2026-01-27_23-12-33,2026-01-27_23-16-10,System, Reset Performed, -, -
