ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 20.482, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 35.512, Send Message Pressed, Scenario:0, Step:1
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 18.837, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 16.714, Send Message Pressed, Scenario:0, Step:3
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 41.696, Start Typing Pressed, Scenario:0, Step:5
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 11.204, Send Message Pressed, Scenario:0, Step:5
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 29.374, Start Typing Pressed, Scenario:0, Step:7
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 12.990, Send Message Pressed, Scenario:0, Step:7
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 13.194, Next Pressed, Scenario:0, Step:9
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 10.459, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 19.864, Start Typing Pressed, Scenario:1, Step:1
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 12.608, Send Message Pressed, Scenario:1, Step:1
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 14.136, Start Typing Pressed, Scenario:1, Step:3
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 12.001, Send Message Pressed, Scenario:1, Step:3
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 7.494, Start Typing Pressed, Scenario:1, Step:5
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 18.694, Send Message Pressed, Scenario:1, Step:5
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 6.715, Start Typing Pressed, Scenario:1, Step:7
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 5.383, Send Message Pressed, Scenario:1, Step:7
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 5.775, Next Pressed, Scenario:1, Step:9
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 16.928, End/Reset Pressed, Scenario:1, Step:9
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,System, Reset Performed, -, -
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 5.328, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ZU7ncTOYfQ,2026-01-27_23-09-22,2026-01-27_23-24-47,ItoI_name, 5.517, Send Message Pressed, Scenario:0, Step:1
