ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 7.050, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 4.111, Send Message Pressed, Scenario:0, Step:1
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 4.751, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 3.208, Send Message Pressed, Scenario:0, Step:3
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 5.281, Start Typing Pressed, Scenario:0, Step:5
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 3.568, Send Message Pressed, Scenario:0, Step:5
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 8.088, Start Typing Pressed, Scenario:0, Step:7
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 2.930, Send Message Pressed, Scenario:0, Step:7
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 4.927, Next Pressed, Scenario:0, Step:9
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 3.272, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 4.353, Start Typing Pressed, Scenario:1, Step:1
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 2.664, Send Message Pressed, Scenario:1, Step:1
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 4.367, Start Typing Pressed, Scenario:1, Step:3
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 5.487, Send Message Pressed, Scenario:1, Step:3
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 6.418, Start Typing Pressed, Scenario:1, Step:5
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 2.623, Send Message Pressed, Scenario:1, Step:5
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 4.575, Start Typing Pressed, Scenario:1, Step:7
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 3.354, Send Message Pressed, Scenario:1, Step:7
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 3.832, Next Pressed, Scenario:1, Step:9
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 1.855, End/Reset Pressed, Scenario:1, Step:9
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,System, Reset Performed, -, -
nszw26001_ZdqzsdPkLf,2026-01-27_20-02-43,2026-01-27_20-07-29,ItoI_name, 2.999, Start Typing Pressed, Scenario:0, Step:1
