ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 6.283, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 5.034, Send Message Pressed, Scenario:0, Step:1
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 7.451, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 5.560, Send Message Pressed, Scenario:0, Step:3
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 5.157, Start Typing Pressed, Scenario:0, Step:5
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 4.542, Send Message Pressed, Scenario:0, Step:5
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 5.033, Start Typing Pressed, Scenario:0, Step:7
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 3.552, Send Message Pressed, Scenario:0, Step:7
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 7.267, Next Pressed, Scenario:0, Step:9
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 4.498, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 4.034, Start Typing Pressed, Scenario:1, Step:1
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 2.930, Send Message Pressed, Scenario:1, Step:1
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 3.951, Start Typing Pressed, Scenario:1, Step:3
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 2.310, Send Message Pressed, Scenario:1, Step:3
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 4.059, Start Typing Pressed, Scenario:1, Step:5
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 9.517, Send Message Pressed, Scenario:1, Step:5
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 4.477, Start Typing Pressed, Scenario:1, Step:7
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 3.014, Send Message Pressed, Scenario:1, Step:7
nszw26001_ZjAwyVFh6C,2026-01-27_20-02-35,2026-01-27_20-06-57,ItoE_name, 16.923, Next Pressed, Scenario:1, Step:9
