ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 11.018, Start Typing Pressed, Scenario:0, Step:1
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 5.931, Send Message Pressed, Scenario:0, Step:1
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 6.848, Start Typing Pressed, Scenario:0, Step:3
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 5.906, Send Message Pressed, Scenario:0, Step:3
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 14.210, Start Typing Pressed, Scenario:0, Step:5
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 3.729, Send Message Pressed, Scenario:0, Step:5
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 7.633, Start Typing Pressed, Scenario:0, Step:7
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 3.304, Send Message Pressed, Scenario:0, Step:7
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 4.816, Next Pressed, Scenario:0, Step:9
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 4.550, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 5.023, Start Typing Pressed, Scenario:1, Step:1
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 3.254, Send Message Pressed, Scenario:1, Step:1
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 7.310, Start Typing Pressed, Scenario:1, Step:3
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 2.999, Send Message Pressed, Scenario:1, Step:3
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 6.185, Start Typing Pressed, Scenario:1, Step:5
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 2.955, Send Message Pressed, Scenario:1, Step:5
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 7.799, Start Typing Pressed, Scenario:1, Step:7
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 2.953, Send Message Pressed, Scenario:1, Step:7
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 7.753, Next Pressed, Scenario:1, Step:9
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,ItoI_name, 4.158, End/Reset Pressed, Scenario:1, Step:9
nszw26001_Zkeq7AJZu1,2026-01-27_23-02-43,2026-01-27_23-10-54,System, Reset Performed, -, -
