ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 11.802, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 7.125, Send Message Pressed, Scenario:0, Step:1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 6.883, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 7.351, Send Message Pressed, Scenario:0, Step:3
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 6.890, Start Typing Pressed, Scenario:0, Step:5
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 5.473, Send Message Pressed, Scenario:0, Step:5
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 7.773, Start Typing Pressed, Scenario:0, Step:7
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 6.005, Send Message Pressed, Scenario:0, Step:7
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 6.259, Next Pressed, Scenario:0, Step:9
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 4.042, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 3.985, Start Typing Pressed, Scenario:1, Step:1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 2.553, Send Message Pressed, Scenario:1, Step:1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 4.431, Start Typing Pressed, Scenario:1, Step:3
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 4.901, Send Message Pressed, Scenario:1, Step:3
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 4.312, Start Typing Pressed, Scenario:1, Step:5
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 2.769, Send Message Pressed, Scenario:1, Step:5
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 7.735, Start Typing Pressed, Scenario:1, Step:7
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 3.875, Send Message Pressed, Scenario:1, Step:7
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 5.481, Next Pressed, Scenario:1, Step:9
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 7.519, End/Reset Pressed, Scenario:1, Step:9
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,System, Reset Performed, -, -
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 5.290, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 2.830, Send Message Pressed, Scenario:0, Step:1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 3.052, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 2.111, Send Message Pressed, Scenario:0, Step:3
