ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 14.555, Start Typing Pressed, Scenario:0, Step:1
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 5.842, Send Message Pressed, Scenario:0, Step:1
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 23.485, Start Typing Pressed, Scenario:0, Step:3
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 5.950, Send Message Pressed, Scenario:0, Step:3
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 10.888, Start Typing Pressed, Scenario:0, Step:5
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 6.211, Send Message Pressed, Scenario:0, Step:5
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 7.002, Start Typing Pressed, Scenario:0, Step:7
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 8.850, Send Message Pressed, Scenario:0, Step:7
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 6.533, Next Pressed, Scenario:0, Step:9
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 5.467, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 6.199, Start Typing Pressed, Scenario:1, Step:1
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 3.668, Send Message Pressed, Scenario:1, Step:1
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 8.299, Start Typing Pressed, Scenario:1, Step:3
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 6.500, Send Message Pressed, Scenario:1, Step:3
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 5.535, Start Typing Pressed, Scenario:1, Step:5
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 2.998, Send Message Pressed, Scenario:1, Step:5
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 7.467, Start Typing Pressed, Scenario:1, Step:7
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 4.184, Send Message Pressed, Scenario:1, Step:7
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 6.867, Next Pressed, Scenario:1, Step:9
