ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 5.014, Start Typing Pressed, Scenario:0, Step:1
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 5.974, Send Message Pressed, Scenario:0, Step:1
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 4.482, Start Typing Pressed, Scenario:0, Step:3
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 4.935, Send Message Pressed, Scenario:0, Step:3
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 4.033, Start Typing Pressed, Scenario:0, Step:5
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 5.236, Send Message Pressed, Scenario:0, Step:5
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 4.965, Start Typing Pressed, Scenario:0, Step:7
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 3.590, Send Message Pressed, Scenario:0, Step:7
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 5.251, Next Pressed, Scenario:0, Step:9
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 3.719, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 5.213, Start Typing Pressed, Scenario:1, Step:1
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 3.720, Send Message Pressed, Scenario:1, Step:1
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 4.161, Start Typing Pressed, Scenario:1, Step:3
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 3.856, Send Message Pressed, Scenario:1, Step:3
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 3.838, Start Typing Pressed, Scenario:1, Step:5
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 2.779, Send Message Pressed, Scenario:1, Step:5
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 3.170, Start Typing Pressed, Scenario:1, Step:7
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 2.537, Send Message Pressed, Scenario:1, Step:7
nszw26001_b7tMT8ElYs,2026-01-27_20-04-05,2026-01-27_20-08-40,ItoI_noname, 4.173, Next Pressed, Scenario:1, Step:9
