ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 310.800, Start Typing Pressed, Scenario:0, Step:1
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 3.056, Send Message Pressed, Scenario:0, Step:1
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 6.711, Start Typing Pressed, Scenario:0, Step:3
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 4.503, Send Message Pressed, Scenario:0, Step:3
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 6.447, Start Typing Pressed, Scenario:0, Step:5
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 4.400, Send Message Pressed, Scenario:0, Step:5
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 4.824, Start Typing Pressed, Scenario:0, Step:7
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 2.863, Send Message Pressed, Scenario:0, Step:7
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 3.880, Next Pressed, Scenario:0, Step:9
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 2.863, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 3.912, Start Typing Pressed, Scenario:1, Step:1
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 2.231, Send Message Pressed, Scenario:1, Step:1
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 2.864, Start Typing Pressed, Scenario:1, Step:3
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 2.496, Send Message Pressed, Scenario:1, Step:3
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 9.303, Start Typing Pressed, Scenario:1, Step:5
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 3.454, Send Message Pressed, Scenario:1, Step:5
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 6.191, Start Typing Pressed, Scenario:1, Step:7
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 2.304, Send Message Pressed, Scenario:1, Step:7
nszw26001_bhL8OlxdjB,2026-01-27_23-46-43,2026-01-27_23-55-28,ItoI_name, 6.656, Next Pressed, Scenario:1, Step:9
