ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 9.882, Start Typing Pressed, Scenario:0, Step:1
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 6.627, Send Message Pressed, Scenario:0, Step:1
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 5.262, Start Typing Pressed, Scenario:0, Step:3
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.559, Send Message Pressed, Scenario:0, Step:3
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 14.131, Start Typing Pressed, Scenario:0, Step:5
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 5.410, Send Message Pressed, Scenario:0, Step:5
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 10.323, Start Typing Pressed, Scenario:0, Step:7
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 5.428, Send Message Pressed, Scenario:0, Step:7
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 5.109, Next Pressed, Scenario:0, Step:9
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 10.255, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 6.644, Start Typing Pressed, Scenario:1, Step:1
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.877, Send Message Pressed, Scenario:1, Step:1
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 10.421, Start Typing Pressed, Scenario:1, Step:3
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 7.284, Send Message Pressed, Scenario:1, Step:3
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 9.034, Start Typing Pressed, Scenario:1, Step:5
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 6.381, Send Message Pressed, Scenario:1, Step:5
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 7.130, Start Typing Pressed, Scenario:1, Step:7
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.527, Send Message Pressed, Scenario:1, Step:7
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 5.327, Next Pressed, Scenario:1, Step:9
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 0.201, End/Reset Pressed, Scenario:1, Step:9
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,System, Reset Performed, -, -
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.707, Start Typing Pressed, Scenario:0, Step:1
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.259, Send Message Pressed, Scenario:0, Step:1
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 6.981, Start Typing Pressed, Scenario:0, Step:3
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.810, Send Message Pressed, Scenario:0, Step:3
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 7.164, Start Typing Pressed, Scenario:0, Step:5
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.626, Send Message Pressed, Scenario:0, Step:5
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 6.081, Start Typing Pressed, Scenario:0, Step:7
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.927, Send Message Pressed, Scenario:0, Step:7
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.485, Next Pressed, Scenario:0, Step:9
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 4.065, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 9.538, Start Typing Pressed, Scenario:1, Step:1
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 11.688, Send Message Pressed, Scenario:1, Step:1
nszw26001_bnpIsSMBDb,2026-01-27_20-02-39,2026-01-27_20-12-38,ItoE_name, 5.445, Start Typing Pressed, Scenario:1, Step:3
