ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 17.399, Start Typing Pressed, Scenario:0, Step:1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 55.931, Send Message Pressed, Scenario:0, Step:1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 31.250, Start Typing Pressed, Scenario:0, Step:3
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 15.456, Send Message Pressed, Scenario:0, Step:3
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 34.324, Start Typing Pressed, Scenario:0, Step:5
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 24.114, Send Message Pressed, Scenario:0, Step:5
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 14.794, Start Typing Pressed, Scenario:0, Step:7
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 15.501, Send Message Pressed, Scenario:0, Step:7
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 63.016, Next Pressed, Scenario:0, Step:9
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 24.664, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 20.020, Start Typing Pressed, Scenario:1, Step:1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 11.594, Send Message Pressed, Scenario:1, Step:1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 18.789, Start Typing Pressed, Scenario:1, Step:3
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 9.248, Send Message Pressed, Scenario:1, Step:3
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 11.889, Start Typing Pressed, Scenario:1, Step:5
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 6.692, Send Message Pressed, Scenario:1, Step:5
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 7.456, Start Typing Pressed, Scenario:1, Step:7
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 18.356, Send Message Pressed, Scenario:1, Step:7
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 15.216, Next Pressed, Scenario:1, Step:9
