ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 13.544, Start Typing Pressed, Scenario:0, Step:1
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 15.079, Send Message Pressed, Scenario:0, Step:1
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 11.336, Start Typing Pressed, Scenario:0, Step:3
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 9.247, Send Message Pressed, Scenario:0, Step:3
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 30.615, Start Typing Pressed, Scenario:0, Step:5
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 6.036, Send Message Pressed, Scenario:0, Step:5
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 8.679, Start Typing Pressed, Scenario:0, Step:7
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 3.503, Send Message Pressed, Scenario:0, Step:7
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 7.061, Next Pressed, Scenario:0, Step:9
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 7.815, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 22.142, Start Typing Pressed, Scenario:1, Step:1
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 4.117, Send Message Pressed, Scenario:1, Step:1
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 6.779, Start Typing Pressed, Scenario:1, Step:3
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 9.486, Send Message Pressed, Scenario:1, Step:3
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 8.015, Start Typing Pressed, Scenario:1, Step:5
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 2.872, Send Message Pressed, Scenario:1, Step:5
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 4.609, Start Typing Pressed, Scenario:1, Step:7
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 7.245, Send Message Pressed, Scenario:1, Step:7
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 9.320, Next Pressed, Scenario:1, Step:9
