ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 17.948, Start Typing Pressed, Scenario:0, Step:1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 6.202, Send Message Pressed, Scenario:0, Step:1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 24.154, Start Typing Pressed, Scenario:0, Step:3
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 4.044, Send Message Pressed, Scenario:0, Step:3
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 11.186, Start Typing Pressed, Scenario:0, Step:5
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 3.232, Send Message Pressed, Scenario:0, Step:5
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 6.615, Start Typing Pressed, Scenario:0, Step:7
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 3.025, Send Message Pressed, Scenario:0, Step:7
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 5.974, Next Pressed, Scenario:0, Step:9
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 3.431, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 3.820, Start Typing Pressed, Scenario:1, Step:1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 2.507, Send Message Pressed, Scenario:1, Step:1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 14.795, Start Typing Pressed, Scenario:1, Step:3
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 2.646, Send Message Pressed, Scenario:1, Step:3
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 4.408, Start Typing Pressed, Scenario:1, Step:5
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 3.651, Send Message Pressed, Scenario:1, Step:5
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 5.485, Start Typing Pressed, Scenario:1, Step:7
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 2.352, Send Message Pressed, Scenario:1, Step:7
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 19.740, Next Pressed, Scenario:1, Step:9
