ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 47.612, Start Typing Pressed, Scenario:0, Step:1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 59.519, Send Message Pressed, Scenario:0, Step:1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 23.631, Start Typing Pressed, Scenario:0, Step:3
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 41.722, Send Message Pressed, Scenario:0, Step:3
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 12.228, Start Typing Pressed, Scenario:0, Step:5
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 8.224, Send Message Pressed, Scenario:0, Step:5
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 9.444, Start Typing Pressed, Scenario:0, Step:7
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 7.368, Send Message Pressed, Scenario:0, Step:7
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 46.716, Next Pressed, Scenario:0, Step:9
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 10.544, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 14.107, Start Typing Pressed, Scenario:1, Step:1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 5.395, Send Message Pressed, Scenario:1, Step:1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 10.185, Start Typing Pressed, Scenario:1, Step:3
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 11.911, Send Message Pressed, Scenario:1, Step:3
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 11.009, Start Typing Pressed, Scenario:1, Step:5
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 5.156, Send Message Pressed, Scenario:1, Step:5
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 6.671, Start Typing Pressed, Scenario:1, Step:7
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 11.521, Send Message Pressed, Scenario:1, Step:7
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 16.888, Next Pressed, Scenario:1, Step:9
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 4.490, End/Reset Pressed, Scenario:1, Step:9
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,System, Reset Performed, -, -
