ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 22.982, Start Typing Pressed, Scenario:0, Step:1
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 9.340, Send Message Pressed, Scenario:0, Step:1
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 6.276, Start Typing Pressed, Scenario:0, Step:3
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 7.219, Send Message Pressed, Scenario:0, Step:3
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 8.720, Start Typing Pressed, Scenario:0, Step:5
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 4.920, Send Message Pressed, Scenario:0, Step:5
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 6.200, Start Typing Pressed, Scenario:0, Step:7
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 4.354, Send Message Pressed, Scenario:0, Step:7
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 6.403, Next Pressed, Scenario:0, Step:9
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 6.510, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 12.618, Start Typing Pressed, Scenario:1, Step:1
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 4.607, Send Message Pressed, Scenario:1, Step:1
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 7.641, Start Typing Pressed, Scenario:1, Step:3
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 5.965, Send Message Pressed, Scenario:1, Step:3
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 6.303, Start Typing Pressed, Scenario:1, Step:5
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 3.568, Send Message Pressed, Scenario:1, Step:5
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 4.679, Start Typing Pressed, Scenario:1, Step:7
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 6.136, Send Message Pressed, Scenario:1, Step:7
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 6.313, Next Pressed, Scenario:1, Step:9
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 5.166, End/Reset Pressed, Scenario:1, Step:9
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,System, Reset Performed, -, -
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 5.015, Start Typing Pressed, Scenario:0, Step:1
nszw26001_gagGIlHG5a,2026-01-27_23-02-33,2026-01-27_23-11-34,ItoE_name, 4.681, Send Message Pressed, Scenario:0, Step:1
