ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 5.756, Start Typing Pressed, Scenario:0, Step:1
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 7.006, Send Message Pressed, Scenario:0, Step:1
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 7.817, Start Typing Pressed, Scenario:0, Step:3
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 6.134, Send Message Pressed, Scenario:0, Step:3
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 8.525, Start Typing Pressed, Scenario:0, Step:5
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 3.810, Send Message Pressed, Scenario:0, Step:5
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 7.950, Start Typing Pressed, Scenario:0, Step:7
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 4.535, Send Message Pressed, Scenario:0, Step:7
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 5.100, Next Pressed, Scenario:0, Step:9
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 4.584, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 4.361, Start Typing Pressed, Scenario:1, Step:1
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 3.299, Send Message Pressed, Scenario:1, Step:1
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 4.718, Start Typing Pressed, Scenario:1, Step:3
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 5.800, Send Message Pressed, Scenario:1, Step:3
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 12.351, Start Typing Pressed, Scenario:1, Step:5
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 3.328, Send Message Pressed, Scenario:1, Step:5
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 9.604, Start Typing Pressed, Scenario:1, Step:7
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 2.485, Send Message Pressed, Scenario:1, Step:7
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 8.195, Next Pressed, Scenario:1, Step:9
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,ItoI_noname, 2.618, End/Reset Pressed, Scenario:1, Step:9
nszw26001_hBd7eUTPoZ,2026-01-27_23-01-09,2026-01-27_23-06-35,System, Reset Performed, -, -
