ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 21.082, Start Typing Pressed, Scenario:0, Step:1
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 12.520, Send Message Pressed, Scenario:0, Step:1
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 19.711, Start Typing Pressed, Scenario:0, Step:3
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 6.871, Send Message Pressed, Scenario:0, Step:3
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 8.892, Start Typing Pressed, Scenario:0, Step:5
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 4.940, Send Message Pressed, Scenario:0, Step:5
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 7.140, Start Typing Pressed, Scenario:0, Step:7
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 3.614, Send Message Pressed, Scenario:0, Step:7
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 6.861, Next Pressed, Scenario:0, Step:9
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 5.462, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 8.359, Start Typing Pressed, Scenario:1, Step:1
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 6.004, Send Message Pressed, Scenario:1, Step:1
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 9.878, Start Typing Pressed, Scenario:1, Step:3
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 3.998, Send Message Pressed, Scenario:1, Step:3
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 7.916, Start Typing Pressed, Scenario:1, Step:5
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 2.951, Send Message Pressed, Scenario:1, Step:5
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 6.217, Start Typing Pressed, Scenario:1, Step:7
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 6.353, Send Message Pressed, Scenario:1, Step:7
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 8.798, Next Pressed, Scenario:1, Step:9
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 5.515, End/Reset Pressed, Scenario:1, Step:9
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,System, Reset Performed, -, -
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 4.473, Start Typing Pressed, Scenario:0, Step:1
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 3.542, Send Message Pressed, Scenario:0, Step:1
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 6.449, Start Typing Pressed, Scenario:0, Step:3
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 4.058, Send Message Pressed, Scenario:0, Step:3
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 6.300, Start Typing Pressed, Scenario:0, Step:5
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 3.321, Send Message Pressed, Scenario:0, Step:5
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 4.503, Start Typing Pressed, Scenario:0, Step:7
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 2.923, Send Message Pressed, Scenario:0, Step:7
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 4.210, Next Pressed, Scenario:0, Step:9
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 2.562, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 4.132, Start Typing Pressed, Scenario:1, Step:1
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 2.398, Send Message Pressed, Scenario:1, Step:1
nszw26001_iUENMFcsy7,2026-01-27_20-02-34,2026-01-27_20-09-56,ItoI_noname, 3.952, Start Typing Pressed, Scenario:1, Step:3
