ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 15.757, Start Typing Pressed, Scenario:0, Step:1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 5.031, Send Message Pressed, Scenario:0, Step:1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 6.261, Start Typing Pressed, Scenario:0, Step:3
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 5.227, Send Message Pressed, Scenario:0, Step:3
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 6.745, Start Typing Pressed, Scenario:0, Step:5
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 3.990, Send Message Pressed, Scenario:0, Step:5
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 7.542, Start Typing Pressed, Scenario:0, Step:7
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 2.474, Send Message Pressed, Scenario:0, Step:7
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 16.195, Next Pressed, Scenario:0, Step:9
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 3.682, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 4.215, Start Typing Pressed, Scenario:1, Step:1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 2.730, Send Message Pressed, Scenario:1, Step:1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 6.279, Start Typing Pressed, Scenario:1, Step:3
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 2.191, Send Message Pressed, Scenario:1, Step:3
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 6.022, Start Typing Pressed, Scenario:1, Step:5
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 2.347, Send Message Pressed, Scenario:1, Step:5
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 13.606, Start Typing Pressed, Scenario:1, Step:7
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 3.039, Send Message Pressed, Scenario:1, Step:7
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 5.433, Next Pressed, Scenario:1, Step:9
