ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 5.108, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.815, Send Message Pressed, Scenario:0, Step:1
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 8.710, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.607, Send Message Pressed, Scenario:0, Step:3
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 17.032, Start Typing Pressed, Scenario:0, Step:5
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.255, Send Message Pressed, Scenario:0, Step:5
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 10.360, Start Typing Pressed, Scenario:0, Step:7
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.479, Send Message Pressed, Scenario:0, Step:7
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 4.664, Next Pressed, Scenario:0, Step:9
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.560, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.911, Start Typing Pressed, Scenario:1, Step:1
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.633, Send Message Pressed, Scenario:1, Step:1
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.591, Start Typing Pressed, Scenario:1, Step:3
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.880, Send Message Pressed, Scenario:1, Step:3
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.055, Start Typing Pressed, Scenario:1, Step:5
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.848, Send Message Pressed, Scenario:1, Step:5
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.576, Start Typing Pressed, Scenario:1, Step:7
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.024, Send Message Pressed, Scenario:1, Step:7
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.431, Next Pressed, Scenario:1, Step:9
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 1.944, End/Reset Pressed, Scenario:1, Step:9
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,System, Reset Performed, -, -
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.535, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.712, Send Message Pressed, Scenario:0, Step:1
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.071, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.344, Send Message Pressed, Scenario:0, Step:3
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 3.200, Start Typing Pressed, Scenario:0, Step:5
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.350, Send Message Pressed, Scenario:0, Step:5
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.783, Start Typing Pressed, Scenario:0, Step:7
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.184, Send Message Pressed, Scenario:0, Step:7
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.832, Next Pressed, Scenario:0, Step:9
nszw26001_ktAmBKqlIt,2026-01-27_23-07-23,2026-01-27_23-11-23,ItoI_noname, 2.327, Create New Chat Pressed, Scenario:0, Step:9
