ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 6.306, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.079, Send Message Pressed, Scenario:0, Step:1
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 15.169, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 9.214, Send Message Pressed, Scenario:0, Step:3
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 2.248, Start Typing Pressed, Scenario:0, Step:5
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 1.847, Send Message Pressed, Scenario:0, Step:5
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 10.465, Start Typing Pressed, Scenario:0, Step:7
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.351, Send Message Pressed, Scenario:0, Step:7
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.815, Next Pressed, Scenario:0, Step:9
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 3.776, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.400, Start Typing Pressed, Scenario:1, Step:1
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 2.736, Send Message Pressed, Scenario:1, Step:1
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.303, Start Typing Pressed, Scenario:1, Step:3
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.008, Send Message Pressed, Scenario:1, Step:3
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.679, Start Typing Pressed, Scenario:1, Step:5
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 3.760, Send Message Pressed, Scenario:1, Step:5
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.064, Start Typing Pressed, Scenario:1, Step:7
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 3.302, Send Message Pressed, Scenario:1, Step:7
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 5.000, Next Pressed, Scenario:1, Step:9
