ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 4.585, Start Typing Pressed, Scenario:0, Step:1
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 4.707, Send Message Pressed, Scenario:0, Step:1
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 4.504, Start Typing Pressed, Scenario:0, Step:3
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 3.704, Send Message Pressed, Scenario:0, Step:3
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 8.773, Start Typing Pressed, Scenario:0, Step:5
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 9.228, Send Message Pressed, Scenario:0, Step:5
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 6.926, Start Typing Pressed, Scenario:0, Step:7
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 12.605, Send Message Pressed, Scenario:0, Step:7
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 15.600, Next Pressed, Scenario:0, Step:9
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 23.576, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 14.373, Start Typing Pressed, Scenario:1, Step:1
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 5.084, Send Message Pressed, Scenario:1, Step:1
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 4.541, Start Typing Pressed, Scenario:1, Step:3
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 9.030, Send Message Pressed, Scenario:1, Step:3
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 6.843, Start Typing Pressed, Scenario:1, Step:5
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 3.376, Send Message Pressed, Scenario:1, Step:5
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 3.935, Start Typing Pressed, Scenario:1, Step:7
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 9.575, Send Message Pressed, Scenario:1, Step:7
nszw26001_ms6OXQXrGr,2026-01-27_23-04-09,2026-01-27_23-11-42,ItoE_noname, 23.845, Next Pressed, Scenario:1, Step:9
