ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 32.754, Start Typing Pressed, Scenario:0, Step:1
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 6.669, Send Message Pressed, Scenario:0, Step:1
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 8.215, Start Typing Pressed, Scenario:0, Step:3
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 8.263, Send Message Pressed, Scenario:0, Step:3
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 7.739, Start Typing Pressed, Scenario:0, Step:5
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 5.220, Send Message Pressed, Scenario:0, Step:5
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 6.808, Start Typing Pressed, Scenario:0, Step:7
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 3.912, Send Message Pressed, Scenario:0, Step:7
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 5.495, Next Pressed, Scenario:0, Step:9
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 5.913, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 6.182, Start Typing Pressed, Scenario:1, Step:1
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 3.176, Send Message Pressed, Scenario:1, Step:1
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 5.799, Start Typing Pressed, Scenario:1, Step:3
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 4.487, Send Message Pressed, Scenario:1, Step:3
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 4.457, Start Typing Pressed, Scenario:1, Step:5
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 2.686, Send Message Pressed, Scenario:1, Step:5
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 6.687, Start Typing Pressed, Scenario:1, Step:7
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 3.071, Send Message Pressed, Scenario:1, Step:7
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 7.925, Next Pressed, Scenario:1, Step:9
