ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 11.698, Start Typing Pressed, Scenario:0, Step:1
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 4.262, Send Message Pressed, Scenario:0, Step:1
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 4.206, Start Typing Pressed, Scenario:0, Step:3
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 2.774, Send Message Pressed, Scenario:0, Step:3
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 4.316, Start Typing Pressed, Scenario:0, Step:5
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 3.248, Send Message Pressed, Scenario:0, Step:5
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 6.007, Start Typing Pressed, Scenario:0, Step:7
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 3.435, Send Message Pressed, Scenario:0, Step:7
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 8.227, Next Pressed, Scenario:0, Step:9
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 3.934, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 4.384, Start Typing Pressed, Scenario:1, Step:1
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 3.029, Send Message Pressed, Scenario:1, Step:1
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 3.834, Start Typing Pressed, Scenario:1, Step:3
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 5.474, Send Message Pressed, Scenario:1, Step:3
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 6.418, Start Typing Pressed, Scenario:1, Step:5
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 3.504, Send Message Pressed, Scenario:1, Step:5
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 4.161, Start Typing Pressed, Scenario:1, Step:7
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 3.490, Send Message Pressed, Scenario:1, Step:7
nszw26001_oS2fgO3tPE,2026-01-27_20-02-44,2026-01-27_20-07-10,ItoE_noname, 3.566, Next Pressed, Scenario:1, Step:9
