ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 15.580, Start Typing Pressed, Scenario:0, Step:1
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 8.248, Send Message Pressed, Scenario:0, Step:1
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 24.460, Start Typing Pressed, Scenario:0, Step:3
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 8.186, Send Message Pressed, Scenario:0, Step:3
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 6.161, Start Typing Pressed, Scenario:0, Step:5
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 8.437, Send Message Pressed, Scenario:0, Step:5
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 22.578, Start Typing Pressed, Scenario:0, Step:7
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 4.862, Send Message Pressed, Scenario:0, Step:7
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 13.082, Next Pressed, Scenario:0, Step:9
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 7.446, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 8.922, Start Typing Pressed, Scenario:1, Step:1
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 3.263, Send Message Pressed, Scenario:1, Step:1
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 18.354, Start Typing Pressed, Scenario:1, Step:3
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 4.222, Send Message Pressed, Scenario:1, Step:3
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 6.320, Start Typing Pressed, Scenario:1, Step:5
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 3.274, Send Message Pressed, Scenario:1, Step:5
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 5.052, Start Typing Pressed, Scenario:1, Step:7
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 2.310, Send Message Pressed, Scenario:1, Step:7
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 4.663, Next Pressed, Scenario:1, Step:9
