ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 8.035, Start Typing Pressed, Scenario:0, Step:1
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 5.965, Send Message Pressed, Scenario:0, Step:1
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 8.016, Start Typing Pressed, Scenario:0, Step:3
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 8.935, Send Message Pressed, Scenario:0, Step:3
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 7.476, Start Typing Pressed, Scenario:0, Step:5
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 4.268, Send Message Pressed, Scenario:0, Step:5
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 5.532, Start Typing Pressed, Scenario:0, Step:7
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 3.071, Send Message Pressed, Scenario:0, Step:7
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 21.875, Next Pressed, Scenario:0, Step:9
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 7.945, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 5.485, Start Typing Pressed, Scenario:1, Step:1
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 10.999, Send Message Pressed, Scenario:1, Step:1
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 8.233, Start Typing Pressed, Scenario:1, Step:3
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 3.469, Send Message Pressed, Scenario:1, Step:3
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 8.646, Start Typing Pressed, Scenario:1, Step:5
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 7.715, Send Message Pressed, Scenario:1, Step:5
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 5.708, Start Typing Pressed, Scenario:1, Step:7
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 2.770, Send Message Pressed, Scenario:1, Step:7
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 7.834, Next Pressed, Scenario:1, Step:9
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 2.598, End/Reset Pressed, Scenario:1, Step:9
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,System, Reset Performed, -, -
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 3.480, Start Typing Pressed, Scenario:0, Step:1
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 2.919, Send Message Pressed, Scenario:0, Step:1
