ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 29.113, Start Typing Pressed, Scenario:0, Step:1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 34.113, Send Message Pressed, Scenario:0, Step:1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 20.731, Start Typing Pressed, Scenario:0, Step:3
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 10.583, Send Message Pressed, Scenario:0, Step:3
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 13.411, Start Typing Pressed, Scenario:0, Step:5
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 7.307, Send Message Pressed, Scenario:0, Step:5
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 9.903, Start Typing Pressed, Scenario:0, Step:7
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 4.622, Send Message Pressed, Scenario:0, Step:7
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 8.529, Next Pressed, Scenario:0, Step:9
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 18.541, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 7.754, Start Typing Pressed, Scenario:1, Step:1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 3.567, Send Message Pressed, Scenario:1, Step:1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 14.536, Start Typing Pressed, Scenario:1, Step:3
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 4.827, Send Message Pressed, Scenario:1, Step:3
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 6.778, Start Typing Pressed, Scenario:1, Step:5
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 4.165, Send Message Pressed, Scenario:1, Step:5
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 42.520, Start Typing Pressed, Scenario:1, Step:7
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 6.712, Send Message Pressed, Scenario:1, Step:7
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 16.209, Next Pressed, Scenario:1, Step:9
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 4.994, End/Reset Pressed, Scenario:1, Step:9
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,System, Reset Performed, -, -
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 10.309, Start Typing Pressed, Scenario:0, Step:1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 3.705, Send Message Pressed, Scenario:0, Step:1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 10.177, Start Typing Pressed, Scenario:0, Step:3
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 6.011, Send Message Pressed, Scenario:0, Step:3
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 7.308, Start Typing Pressed, Scenario:0, Step:5
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 5.370, Send Message Pressed, Scenario:0, Step:5
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 9.096, Start Typing Pressed, Scenario:0, Step:7
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 4.591, Send Message Pressed, Scenario:0, Step:7
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 8.255, Next Pressed, Scenario:0, Step:9
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 5.724, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 9.370, Start Typing Pressed, Scenario:1, Step:1
