ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 19.371, Start Typing Pressed, Scenario:0, Step:1
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.203, Send Message Pressed, Scenario:0, Step:1
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.620, Start Typing Pressed, Scenario:0, Step:3
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 8.564, Send Message Pressed, Scenario:0, Step:3
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 13.048, Start Typing Pressed, Scenario:0, Step:5
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.044, Send Message Pressed, Scenario:0, Step:5
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 3.978, Start Typing Pressed, Scenario:0, Step:7
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 3.018, Send Message Pressed, Scenario:0, Step:7
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 3.965, Next Pressed, Scenario:0, Step:9
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 7.164, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.187, Start Typing Pressed, Scenario:1, Step:1
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 3.655, Send Message Pressed, Scenario:1, Step:1
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.382, Start Typing Pressed, Scenario:1, Step:3
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.578, Send Message Pressed, Scenario:1, Step:3
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 4.184, Start Typing Pressed, Scenario:1, Step:5
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 3.101, Send Message Pressed, Scenario:1, Step:5
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.449, Start Typing Pressed, Scenario:1, Step:7
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 3.542, Send Message Pressed, Scenario:1, Step:7
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 4.830, Next Pressed, Scenario:1, Step:9
