ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 11.839, Start Typing Pressed, Scenario:0, Step:1
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.649, Send Message Pressed, Scenario:0, Step:1
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 11.033, Start Typing Pressed, Scenario:0, Step:3
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 8.686, Send Message Pressed, Scenario:0, Step:3
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 7.762, Start Typing Pressed, Scenario:0, Step:5
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 4.238, Send Message Pressed, Scenario:0, Step:5
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 5.835, Start Typing Pressed, Scenario:0, Step:7
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 3.188, Send Message Pressed, Scenario:0, Step:7
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 5.215, Next Pressed, Scenario:0, Step:9
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 5.226, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 4.792, Start Typing Pressed, Scenario:1, Step:1
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 2.992, Send Message Pressed, Scenario:1, Step:1
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 4.322, Start Typing Pressed, Scenario:1, Step:3
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 4.170, Send Message Pressed, Scenario:1, Step:3
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.982, Start Typing Pressed, Scenario:1, Step:5
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 3.571, Send Message Pressed, Scenario:1, Step:5
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 8.302, Start Typing Pressed, Scenario:1, Step:7
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 2.595, Send Message Pressed, Scenario:1, Step:7
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 5.835, Next Pressed, Scenario:1, Step:9
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 12.946, End/Reset Pressed, Scenario:1, Step:9
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,System, Reset Performed, -, -
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 4.177, Start Typing Pressed, Scenario:0, Step:1
