ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 20.246, Start Typing Pressed, Scenario:0, Step:1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 50.422, Send Message Pressed, Scenario:0, Step:1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 45.144, Start Typing Pressed, Scenario:0, Step:3
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 7.006, Send Message Pressed, Scenario:0, Step:3
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 15.272, Start Typing Pressed, Scenario:0, Step:5
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 4.087, Send Message Pressed, Scenario:0, Step:5
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 6.696, Start Typing Pressed, Scenario:0, Step:7
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 4.447, Send Message Pressed, Scenario:0, Step:7
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 5.368, Next Pressed, Scenario:0, Step:9
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 5.080, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 6.678, Start Typing Pressed, Scenario:1, Step:1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 4.928, Send Message Pressed, Scenario:1, Step:1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 7.016, Start Typing Pressed, Scenario:1, Step:3
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 3.071, Send Message Pressed, Scenario:1, Step:3
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 7.327, Start Typing Pressed, Scenario:1, Step:5
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 11.878, Send Message Pressed, Scenario:1, Step:5
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 8.248, Start Typing Pressed, Scenario:1, Step:7
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 6.585, Send Message Pressed, Scenario:1, Step:7
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 7.616, Next Pressed, Scenario:1, Step:9
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 6.847, End/Reset Pressed, Scenario:1, Step:9
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,System, Reset Performed, -, -
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 5.031, Start Typing Pressed, Scenario:0, Step:1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 3.287, Send Message Pressed, Scenario:0, Step:1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 10.032, Start Typing Pressed, Scenario:0, Step:3
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 5.743, Send Message Pressed, Scenario:0, Step:3
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 6.546, Start Typing Pressed, Scenario:0, Step:5
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 4.285, Send Message Pressed, Scenario:0, Step:5
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 6.463, Start Typing Pressed, Scenario:0, Step:7
